"metrics","p_values","cliff_delta","cliff_estimate"
"cbo",0.0916286447495206,"negligible",-0.110551508844953
"wmc",0.0298030765896317,"negligible",0.142726326742976
"dit",0.148570170051449,"negligible",-0.0842455775234131
"noc",0.308907962297517,"negligible",-0.0194797086368366
"rfc",0.985331409716989,"negligible",-0.00124869927159209
"lcom",0.633648298331494,"negligible",0.0309677419354839
"nom",0.223944767849008,"negligible",0.0798335067637877
"nopm",0.499525285452062,"negligible",0.0443288241415193
"nosm",0.731505154340738,"negligible",0.020894901144641
"nof",0.778837537456327,"negligible",0.0183975026014568
"nopf",0.0556024568862086,"negligible",-0.0975234131113423
"nosf",0.846176772368324,"negligible",-0.0121123829344433
"nosi",0.447061488450398,"negligible",0.0496149843912591
"loc",0.0504524025022799,"negligible",0.128532778355879
"vocabulary",0.461136863758064,"negligible",0.0484495317377732
"length",0.0131103730065127,"small",0.162996878251821
"calculated_length",0.549488209933884,"negligible",0.0327991675338189
"volume",0.0223163306779149,"small",0.150135275754422
"difficulty",0.000299595137299922,"small",0.237544224765869
"effort",0.00243410570759202,"small",0.199167533818939
"time",0.00243410570759202,"small",0.199167533818939
"bugs",0.0223163306779149,"small",0.150135275754422
"A",0.106099600118429,"negligible",0.105889698231009
"Ca",0.0903658327769089,"negligible",0.111092611862643
"Ce",0.0407732855600349,"negligible",-0.134276795005203
"D",0.0846721477871056,"negligible",0.113173777315297
"I",0.00330278947499016,"small",-0.192840790842872
"V",NA,"negligible",0
"abstract",0.204419805687437,"negligible",0.0255567117585848
"assert",0.330291417750502,"negligible",-0.0384599375650364
"boolean",0.0246483892894825,"negligible",0.142393340270552
"break",0.313402773892267,"negligible",0.0129864724245578
"byte",0.975053615429051,"negligible",0.000874089490114462
"case",0.0437876377562491,"negligible",0.0959001040582726
"catch",0.154509548800361,"negligible",-0.0673048907388137
"char",0.176893734946532,"negligible",0.0193964620187305
"const",NA,"negligible",0
"continue",0.772829184875691,"negligible",-0.00611862643080125
"default",0.475302801795295,"negligible",0.0329656607700312
"do",0.164701562720307,"negligible",0.060312174817898
"double",0.517443647601872,"negligible",0.0356711758584808
"else",0.00104399857926586,"small",0.200874089490114
"extends",0.511209809344939,"negligible",-0.0383350676378772
"false",0.193650578545494,"negligible",0.0380437044745057
"final",0.206012477128156,"negligible",0.0828720083246618
"finally",0.624571581864794,"negligible",0.0130697190426639
"float",0.995762676520092,"negligible",-0.000124869927159209
"for",0.556383890530915,"negligible",0.0384599375650364
"goto",NA,"negligible",0
"if",0.128942629994678,"negligible",0.0996462018730489
"implements",0.520973365999761,"negligible",-0.0379604578563996
"import",0.498788379440952,"negligible",-0.0443704474505723
"instanceof",0.901573274677425,"negligible",-0.00636836628511966
"int",0.090275950190023,"negligible",0.109594172736733
"interface",0.43687825380506,"negligible",0.0201873048907388
"long",0.588327557070208,"negligible",0.0312591050988554
"native",0.570027494450958,"negligible",0.00636836628511967
"new",0.876850518840462,"negligible",-0.0101977107180021
"null",0.174458140690942,"negligible",-0.0814984391259105
"package",0.157968181018564,"negligible",0.0129032258064516
"private",0.0897057530697899,"negligible",0.11105098855359
"protected",0.780125348985112,"negligible",-0.0138605619146722
"public",0.461393873497116,"negligible",0.048366285119667
"return",0.0589906994785558,"negligible",0.123912591050989
"short",0.0996970833054981,"negligible",0.0258480749219563
"static",0.671341156051496,"negligible",0.0275546305931322
"strictfp",NA,"negligible",0
"super",0.314957470068394,"negligible",0.0129448491155047
"switch",0.63611523824883,"negligible",0.017315296566077
"synchronized",0.652025149813974,"negligible",-0.0126534859521332
"this",0.889605201248381,"negligible",0.00861602497398544
"throw",0.728805863440833,"negligible",0.0222268470343392
"throws",0.270965026073142,"negligible",0.0670967741935484
"transient",0.255281175480721,"negligible",0.0192715920915713
"true",0.705135624736923,"negligible",-0.0169406867845994
"try",0.22517855402559,"negligible",-0.0611862643080125
"void",0.26052515948963,"negligible",0.07105098855359
"volatile",0.992241084839825,"negligible",0.000166493236212279
"while",0.0672035298089982,"negligible",0.0901144640998959
